temp : 온도
gender : 암수

temp,gender
27.2,male
27.2,male
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.2,female
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,male
27.7,female
27.7,female
27.7,female
27.7,female
27.7,female
27.7,female
27.7,female
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,male
28.3,female
28.3,female
28.3,female
28.3,female
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,male
28.4,female
28.4,female
28.4,female
28.4,female
28.4,female
28.4,female
28.4,female
28.4,female
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,male
29.9,female
